venue,city,country,lat,lon,elevation_m,capacity,roof,surface,timezone,climate_note
MetLife Stadium,East Rutherford,United States,40.8135,-74.0745,5,82500,open,grass,America/New_York,Humid summer; hosts the final
AT&T Stadium,Arlington,United States,32.7473,-97.0945,150,80000,retractable,grass,America/Chicago,Very hot Texas summer; roof+AC mitigates
NRG Stadium,Houston,United States,29.6847,-95.4107,15,72000,retractable,grass,America/Chicago,Hot and very humid Gulf coast
Mercedes-Benz Stadium,Atlanta,United States,33.7554,-84.4008,320,71000,retractable,grass,America/New_York,Hot humid; closeable roof
Lincoln Financial Field,Philadelphia,United States,39.9008,-75.1675,12,69000,open,grass,America/New_York,Warm humid mid-Atlantic summer
Levi's Stadium,Santa Clara,United States,37.4030,-121.9700,6,68500,open,grass,America/Los_Angeles,Mild dry Bay Area summer
Lumen Field,Seattle,United States,47.5952,-122.3316,5,69000,open,grass,America/Los_Angeles,Mild dry Pacific Northwest summer
SoFi Stadium,Inglewood,United States,33.9535,-118.3392,30,70000,fixed,grass,America/Los_Angeles,Mild coastal LA; fixed canopy open sides
Gillette Stadium,Foxborough,United States,42.0909,-71.2643,90,65000,open,grass,America/New_York,Warm New England summer
Hard Rock Stadium,Miami Gardens,United States,25.9580,-80.2389,2,65000,open,grass,America/New_York,Hot very humid; afternoon thunderstorms
Arrowhead Stadium,Kansas City,United States,39.0489,-94.4839,270,76000,open,grass,America/Chicago,Hot humid Midwest summer
BC Place,Vancouver,Canada,49.2767,-123.1119,3,54500,retractable,grass,America/Vancouver,Mild dry; retractable roof
BMO Field,Toronto,Canada,43.6332,-79.4185,80,45000,open,grass,America/Toronto,Warm humid Great Lakes summer
Estadio Azteca,Mexico City,Mexico,19.3030,-99.1505,2200,87000,open,grass,America/Mexico_City,Extreme altitude 2200m; mild but thin air
Estadio BBVA,Monterrey,Mexico,25.6694,-100.2444,500,53500,open,grass,America/Monterrey,Very hot northern Mexico summer
Estadio Akron,Guadalajara,Mexico,20.6819,-103.4625,1550,48000,open,grass,America/Mexico_City,High altitude 1550m; warm with rain season
